Step 7300/900000, Total Loss: 2.9861, Mel Loss: 0.7739, Mel PostNet Loss: 0.7740, Pitch Loss: 0.7860, Energy Loss: 0.5299, Duration Loss: 0.1223
Step 7400/900000, Total Loss: 3.2978, Mel Loss: 0.6786, Mel PostNet Loss: 0.6786, Pitch Loss: 1.4009, Energy Loss: 0.4005, Duration Loss: 0.1393
Step 7500/900000, Total Loss: 2.5598, Mel Loss: 0.7331, Mel PostNet Loss: 0.7331, Pitch Loss: 0.5564, Energy Loss: 0.4289, Duration Loss: 0.1083
Step 7600/900000, Total Loss: 3.2228, Mel Loss: 0.7147, Mel PostNet Loss: 0.7148, Pitch Loss: 1.2133, Energy Loss: 0.4619, Duration Loss: 0.1181
Step 7700/900000, Total Loss: 2.7252, Mel Loss: 0.7441, Mel PostNet Loss: 0.7441, Pitch Loss: 0.4531, Energy Loss: 0.6715, Duration Loss: 0.1124
Step 7800/900000, Total Loss: 2.4694, Mel Loss: 0.7212, Mel PostNet Loss: 0.7211, Pitch Loss: 0.4843, Energy Loss: 0.4530, Duration Loss: 0.0898
Step 7900/900000, Total Loss: 2.8505, Mel Loss: 0.7148, Mel PostNet Loss: 0.7148, Pitch Loss: 0.6909, Energy Loss: 0.6114, Duration Loss: 0.1186
Step 8000/900000, Total Loss: 2.4020, Mel Loss: 0.6979, Mel PostNet Loss: 0.6979, Pitch Loss: 0.5727, Energy Loss: 0.3380, Duration Loss: 0.0955
Step 8100/900000, Total Loss: 2.3010, Mel Loss: 0.6907, Mel PostNet Loss: 0.6906, Pitch Loss: 0.4246, Energy Loss: 0.3864, Duration Loss: 0.1087
Step 8200/900000, Total Loss: 2.5648, Mel Loss: 0.6790, Mel PostNet Loss: 0.6789, Pitch Loss: 0.6789, Energy Loss: 0.3838, Duration Loss: 0.1443
Step 8300/900000, Total Loss: 2.7581, Mel Loss: 0.7157, Mel PostNet Loss: 0.7157, Pitch Loss: 0.7526, Energy Loss: 0.4343, Duration Loss: 0.1398
